Proyecto,Tipo Especificación,Título API,Versión,Path,Método,Parámetros
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/access_requests","GET",3
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/access_requests","POST",1
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/access_requests/{user_id}/approve","PUT",3
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/access_requests/{user_id}","DELETE",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/epics/{epic_iid}/award_emoji","GET",4
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/epics/{epic_iid}/award_emoji","POST",3
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/epics/{epic_iid}/award_emoji/{award_id}","GET",3
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/epics/{epic_iid}/award_emoji/{award_id}","DELETE",3
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/epics/{epic_iid}/notes/{note_id}/award_emoji","GET",5
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/epics/{epic_iid}/notes/{note_id}/award_emoji","POST",4
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/epics/{epic_iid}/notes/{note_id}/award_emoji/{award_id}","GET",4
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/epics/{epic_iid}/notes/{note_id}/award_emoji/{award_id}","DELETE",4
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/badges","GET",4
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/badges","POST",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/badges/render","GET",3
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/badges/{badge_id}","GET",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/badges/{badge_id}","PUT",3
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/badges/{badge_id}","DELETE",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/custom_attributes","GET",1
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/custom_attributes/{key}","GET",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/custom_attributes/{key}","PUT",3
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/custom_attributes/{key}","DELETE",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups","GET",17
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups","POST",1
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}","PUT",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}","GET",3
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}","DELETE",1
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/archive","POST",1
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/unarchive","POST",1
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/restore","POST",1
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/groups/shared","GET",10
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/invited_groups","GET",7
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/projects","GET",19
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/projects/shared","GET",14
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/subgroups","GET",18
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/descendant_groups","GET",18
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/projects/{project_id}","POST",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/transfer_locations","GET",4
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/transfer","POST",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/share","POST",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/share/{group_id}","DELETE",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/tokens/revoke","POST",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/ldap_sync","POST",1
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/audit_events","GET",5
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/audit_events/{audit_event_id}","GET",2
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/saml_users","GET",9
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/provisioned_users","GET",9
"COITDEVSOCOEAPPSIA/crewai-nativeai","swagger","GitLab API","v4","/api/v4/groups/{id}/users","GET",7
